Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,"=""0465067107""","=""9780465067107""",0,4.15,Basic Books,Paperback,240,2002,1988,,2023/07/21,to-read,to-read (#52),to-read,,,,0,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,4.33,Scribner,Hardcover,571,2010,2010,,2023/07/21,to-read,to-read (#50),to-read,,,,0,0
22571552,So You've Been Publicly Shamed,Jon Ronson,"Ronson, Jon",,"=""1594487138""","=""9781594487132""",0,3.93,Riverhead Books,Hardcover,290,2015,2015,,2023/07/21,to-read,to-read (#48),to-read,,,,0,0
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.98,Random House,Hardcover,291,2007,2006,,2023/07/21,to-read,to-read (#47),to-read,,,,0,0
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,4.09,Random House,Hardcover,426,2012,2012,,2023/07/21,to-read,to-read (#46),to-read,,,,0,0
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",0,4.15,Simon & Schuster,Hardcover,576,2014,2014,,2023/07/21,to-read,to-read (#45),to-read,,,,0,0
15797397,Salt Sugar Fat: How the Food Giants Hooked Us,Michael  Moss,"Moss, Michael",,"=""1400069807""","=""9781400069804""",0,4.00,Random House,Hardcover,480,2013,2013,,2023/07/21,to-read,to-read (#44),to-read,,,,0,0
7015635,Food Rules: An Eater's Manual,Michael Pollan,"Pollan, Michael",,"=""014311638X""","=""9780143116387""",0,3.99,Penguin Books,Paperback,152,2009,2008,,2023/07/21,to-read,to-read (#43),to-read,,,,0,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",0,4.12,Time Warner Books UK,Paperback,195,2001,1997,,2023/07/21,to-read,to-read (#42),to-read,,,,0,0
28,Notes from a Small Island,Bill Bryson,"Bryson, Bill",,"=""0380727501""","=""9780380727506""",0,3.91,William Morrow Paperbacks,Paperback,324,1997,1995,,2023/07/21,to-read,to-read (#41),to-read,,,,0,0
7745,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,"=""0679785892""","=""9780679785897""",0,4.07,Vintage Books,Paperback,204,1998,1971,,2023/07/21,to-read,to-read (#40),to-read,,,,0,0
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",0,4.09,Penguin,Paperback,466,2006,1986,,2023/07/21,to-read,to-read (#39),to-read,,,,0,0
